respondent_id,constituency,age,gender,education,occupation,income_bracket,urban_rural,port_development,infrastructure,welfare_programs,corruption_concern,education_quality,leader_image,national_issues,law_and_order,environment_concern,transport_public,housing_affordability,women_safety,small_business_support,past_vote,vote_intention
1,Visakhapatnam (Vizag),56,Male,Secondary,Self-Employed,Low,Urban,5,3,4,2,4,4,3,3,4,4,5,4,5,YSRCP,YSRCP
2,Visakhapatnam (Vizag),69,Female,Secondary,Private Job,Middle,Urban,5,4,3,4,4,4,3,3,4,3,4,4,4,YSRCP,TDP
3,Visakhapatnam (Vizag),46,Male,Secondary,Government Employee,Low,Rural,4,4,3,4,4,4,4,5,3,3,4,3,3,BJP,BJP
4,Visakhapatnam (Vizag),32,Female,Secondary,Government Employee,High,Urban,4,4,4,3,4,4,3,3,4,3,4,5,4,TDP,YSRCP
5,Visakhapatnam (Vizag),60,Female,Secondary,Self-Employed,Low,Rural,4,5,3,3,3,4,5,4,3,4,4,4,4,BJP,BJP
6,Visakhapatnam (Vizag),25,Male,Graduate,Private Job,Low,Coastal,4,4,4,2,4,5,3,3,4,4,4,4,4,YSRCP,YSRCP
7,Visakhapatnam (Vizag),78,Male,Secondary,Student,Middle,Rural,4,3,3,3,3,4,5,4,3,4,3,3,3,BJP,BJP
8,Visakhapatnam (Vizag),38,Male,Graduate,Private Job,High,Urban,5,4,5,2,4,3,3,3,3,3,3,4,4,TDP,YSRCP
9,Visakhapatnam (Vizag),56,Male,Postgraduate,Student,Low,Urban,3,4,4,4,4,4,3,4,3,4,3,5,4,None,JanaSena
10,Visakhapatnam (Vizag),75,Male,Secondary,Self-Employed,Low,Urban,4,4,4,3,4,3,3,4,3,4,4,4,4,TDP,TDP
11,Visakhapatnam (Vizag),36,Female,Graduate,Private Job,Low,Urban,4,4,4,2,4,4,3,4,3,4,4,4,3,TDP,YSRCP
12,Visakhapatnam (Vizag),40,Female,Primary,Self-Employed,Low,Urban,5,4,4,3,4,5,3,3,4,4,4,4,4,YSRCP,YSRCP
13,Visakhapatnam (Vizag),28,Female,Graduate,Fisherman,Low,Coastal,4,5,3,4,5,4,2,4,3,4,4,5,4,TDP,TDP
14,Visakhapatnam (Vizag),28,Female,Secondary,Fisherman,Middle,Urban,3,3,2,3,4,5,4,3,3,3,4,4,4,YSRCP,JanaSena
15,Visakhapatnam (Vizag),41,Female,Postgraduate,Fisherman,Low,Urban,4,5,5,2,3,5,3,3,4,4,4,4,3,YSRCP,YSRCP
16,Visakhapatnam (Vizag),70,Female,Graduate,Private Job,Low,Rural,5,4,4,3,4,4,3,3,2,4,3,4,4,YSRCP,YSRCP
17,Visakhapatnam (Vizag),53,Female,Secondary,Government Employee,Middle,Rural,4,4,3,4,3,4,4,4,4,4,4,4,3,JanaSena,TDP
18,Visakhapatnam (Vizag),57,Male,Primary,Fisherman,Low,Urban,4,3,4,3,3,4,4,4,3,4,3,4,4,TDP,TDP
19,Visakhapatnam (Vizag),41,Male,Postgraduate,Fisherman,Low,Coastal,4,5,3,3,3,4,4,4,3,4,3,4,4,TDP,JanaSena
20,Visakhapatnam (Vizag),20,Male,Graduate,Self-Employed,Low,Urban,4,4,3,5,4,4,5,5,4,4,3,3,3,BJP,BJP
21,Visakhapatnam (Vizag),39,Male,Secondary,Self-Employed,High,Rural,3,4,3,2,4,5,3,3,3,4,3,4,4,YSRCP,YSRCP
22,Visakhapatnam (Vizag),70,Male,Secondary,Self-Employed,Low,Coastal,4,3,4,3,4,4,2,3,5,4,4,4,4,BJP,JanaSena
23,Visakhapatnam (Vizag),19,Male,Graduate,Self-Employed,Middle,Rural,4,4,4,4,4,4,2,3,4,5,4,3,4,TDP,BJP
24,Visakhapatnam (Vizag),41,Female,Secondary,Student,Middle,Rural,4,5,5,2,4,4,3,3,3,4,4,4,5,TDP,YSRCP
25,Visakhapatnam (Vizag),61,Female,Postgraduate,Fisherman,Low,Urban,4,3,3,4,4,3,5,4,3,4,3,3,4,BJP,BJP
26,Visakhapatnam (Vizag),47,Male,Secondary,Private Job,High,Urban,5,4,3,3,4,3,3,4,4,4,3,3,4,YSRCP,YSRCP
27,Visakhapatnam (Vizag),55,Male,Primary,Student,Low,Rural,5,5,5,3,4,5,2,4,4,4,3,4,3,YSRCP,YSRCP
28,Visakhapatnam (Vizag),19,Male,Graduate,Private Job,Low,Urban,3,5,3,4,4,4,3,3,3,4,4,4,5,None,TDP
29,Visakhapatnam (Vizag),77,Male,Secondary,Government Employee,Middle,Coastal,4,4,5,2,4,4,2,3,3,2,3,4,3,YSRCP,YSRCP
30,Visakhapatnam (Vizag),38,Male,Secondary,Fisherman,Middle,Urban,4,4,4,3,3,5,3,3,3,4,4,4,4,TDP,TDP
31,Visakhapatnam (Vizag),50,Female,Primary,Private Job,Middle,Urban,3,4,4,4,3,4,3,3,4,4,4,4,3,JanaSena,JanaSena
32,Visakhapatnam (Vizag),29,Male,Primary,Private Job,Low,Urban,4,4,4,2,4,4,3,3,3,4,3,3,4,YSRCP,YSRCP
33,Visakhapatnam (Vizag),75,Female,Graduate,Government Employee,Middle,Urban,4,5,4,3,4,4,4,3,3,4,3,4,5,TDP,TDP
34,Visakhapatnam (Vizag),39,Female,Secondary,Government Employee,Middle,Rural,3,4,2,5,3,3,4,4,3,3,4,4,3,JanaSena,BJP
35,Visakhapatnam (Vizag),78,Male,Graduate,Government Employee,Low,Rural,4,4,4,3,4,4,3,4,4,3,3,4,3,YSRCP,JanaSena
36,Visakhapatnam (Vizag),61,Female,Graduate,Fisherman,Low,Rural,4,4,4,4,4,3,3,3,3,3,4,4,4,TDP,TDP
37,Visakhapatnam (Vizag),42,Female,Graduate,Fisherman,Low,Coastal,3,3,4,4,4,4,4,4,4,4,4,4,5,TDP,TDP
38,Visakhapatnam (Vizag),66,Male,Secondary,Self-Employed,Low,Coastal,5,4,3,4,5,4,3,4,4,4,4,3,5,TDP,TDP
39,Visakhapatnam (Vizag),44,Male,Secondary,Government Employee,Middle,Coastal,3,3,4,3,4,5,4,4,4,3,4,4,3,BJP,JanaSena
40,Visakhapatnam (Vizag),76,Female,Postgraduate,Fisherman,Low,Urban,4,3,5,4,3,5,2,3,4,4,4,4,3,JanaSena,JanaSena
41,Visakhapatnam (Vizag),59,Female,Graduate,Self-Employed,High,Rural,4,5,4,2,4,4,3,3,4,3,3,4,3,TDP,YSRCP
42,Visakhapatnam (Vizag),45,Female,Graduate,Private Job,Low,Urban,4,4,4,3,3,4,3,5,3,4,4,3,4,YSRCP,TDP
43,Visakhapatnam (Vizag),77,Female,Secondary,Private Job,Middle,Urban,3,4,3,2,5,4,4,3,3,3,4,3,4,TDP,TDP
44,Visakhapatnam (Vizag),33,Female,Secondary,Fisherman,Low,Rural,4,4,3,4,3,4,4,4,3,3,4,3,4,BJP,YSRCP
45,Visakhapatnam (Vizag),32,Female,Graduate,Student,Low,Urban,4,3,3,4,3,3,4,3,3,4,3,4,4,TDP,TDP
46,Visakhapatnam (Vizag),79,Female,Postgraduate,Government Employee,Low,Urban,4,4,3,3,3,4,4,5,3,3,4,4,4,BJP,BJP
47,Visakhapatnam (Vizag),79,Female,Graduate,Private Job,Low,Urban,3,3,4,2,2,4,3,3,4,4,3,4,4,None,JanaSena
48,Visakhapatnam (Vizag),64,Female,Graduate,Self-Employed,Middle,Urban,4,4,4,3,4,4,3,3,3,3,4,4,4,YSRCP,YSRCP
49,Visakhapatnam (Vizag),79,Male,Graduate,Private Job,High,Coastal,4,4,4,3,4,4,3,3,4,5,4,3,4,BJP,YSRCP
50,Visakhapatnam (Vizag),68,Female,Primary,Private Job,Middle,Urban,4,4,2,3,4,3,4,3,3,4,5,4,5,TDP,TDP
51,Visakhapatnam (Vizag),61,Female,Secondary,Fisherman,Low,Urban,5,4,4,2,4,4,3,3,3,4,3,4,3,YSRCP,YSRCP
52,Visakhapatnam (Vizag),72,Male,Secondary,Private Job,Low,Urban,4,4,4,2,4,4,3,4,4,4,4,4,4,TDP,YSRCP
53,Visakhapatnam (Vizag),69,Female,Secondary,Fisherman,Low,Urban,5,4,5,3,4,4,3,3,4,4,4,4,5,YSRCP,YSRCP
54,Visakhapatnam (Vizag),74,Male,Postgraduate,Government Employee,Middle,Coastal,4,3,3,4,3,3,3,5,3,3,4,4,4,BJP,JanaSena
55,Visakhapatnam (Vizag),20,Female,Secondary,Self-Employed,Middle,Urban,2,4,3,3,3,5,3,4,3,4,3,4,3,JanaSena,JanaSena
56,Visakhapatnam (Vizag),54,Female,Secondary,Private Job,High,Rural,4,4,4,4,4,5,3,4,4,5,5,4,4,TDP,TDP
57,Visakhapatnam (Vizag),68,Female,Secondary,Private Job,Low,Rural,5,4,3,4,4,4,4,4,4,4,4,3,4,TDP,TDP
58,Visakhapatnam (Vizag),24,Male,Secondary,Fisherman,Middle,Coastal,4,4,5,2,4,4,3,3,3,4,4,4,4,None,YSRCP
59,Visakhapatnam (Vizag),38,Female,Secondary,Private Job,Middle,Rural,3,3,2,4,4,3,5,3,4,3,3,3,4,BJP,BJP
60,Visakhapatnam (Vizag),26,Female,Secondary,Private Job,Middle,Coastal,3,5,3,5,3,4,5,4,3,4,3,3,3,BJP,BJP
61,Visakhapatnam (Vizag),56,Male,Graduate,Student,Middle,Urban,3,5,3,3,3,5,5,3,3,4,4,4,5,TDP,TDP
62,Visakhapatnam (Vizag),35,Male,Secondary,Fisherman,Middle,Urban,4,4,4,2,5,5,3,4,4,4,4,3,3,YSRCP,YSRCP
63,Visakhapatnam (Vizag),21,Female,Graduate,Student,Middle,Urban,5,3,4,2,4,5,3,3,4,4,4,3,4,YSRCP,YSRCP
64,Visakhapatnam (Vizag),42,Male,Primary,Self-Employed,Low,Coastal,5,4,4,3,4,5,3,3,3,3,4,3,3,YSRCP,YSRCP
65,Visakhapatnam (Vizag),77,Male,Primary,Private Job,Middle,Urban,3,4,3,3,3,4,4,3,4,5,4,4,3,TDP,TDP
66,Visakhapatnam (Vizag),31,Female,Secondary,Self-Employed,Low,Urban,3,4,2,4,4,3,5,4,3,3,3,4,4,TDP,BJP
67,Visakhapatnam (Vizag),67,Male,Graduate,Government Employee,Middle,Urban,4,3,4,4,4,4,2,3,4,5,3,4,4,JanaSena,JanaSena
68,Visakhapatnam (Vizag),75,Female,Graduate,Government Employee,Low,Urban,4,4,3,3,3,4,3,3,4,4,4,4,4,TDP,TDP
69,Visakhapatnam (Vizag),26,Male,Secondary,Private Job,Middle,Urban,4,4,3,4,3,3,4,4,2,4,3,2,3,BJP,BJP
70,Visakhapatnam (Vizag),43,Female,Secondary,Private Job,High,Coastal,3,3,4,3,3,4,3,4,3,3,3,4,4,JanaSena,JanaSena
